sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
PQ8JXR05Z9_M,Brussels,38,38,0,0,33,0
PQ8JXR05Z9_M,Copenhagen,40,52,12,0,33,96.228
PQ8JXR05Z9_M,Helsinki,49,58,9,0,33,72.171
PQ8JXR05Z9_M,Madrid,25,25,0,0,33,0
PQ8JXR05Z9_M,Paris,16,18,2,0,33,16.038
PQ8JXR05Z9_M,Platform,7,11,4,0,33,32.076
PQ8JXR05Z9_M,Rome,9,14,5,0,33,40.095
PQ8JXR05Z9_M,Stockholm,19,19,0,0,33,0
PQ8JXR05Z9_M,Webshop,99,99,0,0,33,0
PQ8JXR05Z9_S,Amsterdam,7,10,3,0,33,24.057
PQ8JXR05Z9_S,Berlin,15,16,1,0,33,8.019
PQ8JXR05Z9_S,Brussels,9,14,5,0,33,40.095
PQ8JXR05Z9_S,Copenhagen,29,29,0,0,33,0
PQ8JXR05Z9_S,Helsinki,33,33,0,0,33,0
PQ8JXR05Z9_S,Madrid,19,19,0,0,33,0
PQ8JXR05Z9_S,Paris,20,21,1,0,33,8.019
PQ8JXR05Z9_S,Platform,6,6,0,0,33,0
PQ8JXR05Z9_S,Rome,9,9,0,0,33,0
PQ8JXR05Z9_S,Stockholm,20,31,11,0,33,88.209
PQ8JXR05Z9_S,Webshop,57,57,0,0,33,0
PQ8JXR05Z9_XL,Amsterdam,6,6,0,0,33,0
PQ8JXR05Z9_XL,Berlin,5,5,0,0,33,0
PQ8JXR05Z9_XL,Brussels,7,7,0,0,33,0
PQ8JXR05Z9_XL,Copenhagen,15,19,4,0,33,32.076
PQ8JXR05Z9_XL,Helsinki,14,14,0,0,33,0
PQ8JXR05Z9_XL,Madrid,11,11,0,0,33,0
PQ8JXR05Z9_XL,Paris,9,9,0,0,33,0
PQ8JXR05Z9_XL,Platform,3,3,0,0,33,0
PQ8JXR05Z9_XL,Rome,7,7,0,0,33,0
PQ8JXR05Z9_XL,Stockholm,10,12,2,0,33,16.038
PQ8JXR05Z9_XL,Webshop,18,18,0,0,33,0
PQ8JXR05Z9_XS,Amsterdam,11,11,0,0,33,0
PQ8JXR05Z9_XS,Berlin,11,11,0,0,33,0
PQ8JXR05Z9_XS,Brussels,8,9,1,0,33,8.019
PQ8JXR05Z9_XS,Copenhagen,18,21,3,0,33,24.057
PQ8JXR05Z9_XS,Helsinki,11,14,3,0,33,24.057
PQ8JXR05Z9_XS,Madrid,8,10,2,0,33,16.038
PQ8JXR05Z9_XS,Paris,4,10,6,0,33,48.114
PQ8JXR05Z9_XS,Platform,1,5,4,0,33,32.076
PQ8JXR05Z9_XS,Rome,2,4,2,0,33,16.038
PQ8JXR05Z9_XS,Stockholm,8,15,7,0,33,56.133
PQ8JXR05Z9_XS,Webshop,33,44,11,0,33,88.209
PQ8JXR05Z9_XXL,Amsterdam,4,6,2,0,33,16.038
PQ8JXR05Z9_XXL,Berlin,3,4,1,0,33,8.019
PQ8JXR05Z9_XXL,Brussels,4,4,0,0,33,0
PQ8JXR05Z9_XXL,Copenhagen,15,15,0,0,33,0
PQ8JXR05Z9_XXL,Helsinki,10,10,0,0,33,0
PQ8JXR05Z9_XXL,Madrid,4,4,0,0,33,0
PQ8JXR05Z9_XXL,Paris,8,9,1,0,33,8.019
PQ8JXR05Z9_XXL,Platform,2,3,1,0,33,8.019
PQ8JXR05Z9_XXL,Rome,4,4,0,0,33,0
PQ8JXR05Z9_XXL,Stockholm,5,10,5,0,33,40.095
PQ8JXR05Z9_XXL,Webshop,22,22,0,0,33,0
PUZ9FHPM0L_L,Amsterdam,32,32,0,0,55,0
PUZ9FHPM0L_L,Berlin,23,25,2,0,55,26.73
PUZ9FHPM0L_L,Brussels,28,34,6,0,55,80.19
PUZ9FHPM0L_L,Copenhagen,58,58,0,0,55,0
PUZ9FHPM0L_L,Helsinki,55,55,0,0,55,0
PUZ9FHPM0L_L,Madrid,35,45,10,0,55,133.65
PUZ9FHPM0L_L,Paris,31,39,8,0,55,106.92
PUZ9FHPM0L_L,Platform,7,20,13,0,55,173.745
PUZ9FHPM0L_L,Rome,12,18,6,0,55,80.19
PUZ9FHPM0L_L,Stockholm,23,52,29,0,55,387.585
PUZ9FHPM0L_L,Webshop,116,116,0,0,55,0
PUZ9FHPM0L_M,Amsterdam,15,17,2,0,55,26.73
PUZ9FHPM0L_M,Berlin,11,14,3,0,55,40.095
PUZ9FHPM0L_M,Brussels,24,24,0,0,55,0
PUZ9FHPM0L_M,Copenhagen,15,17,2,0,55,26.73
PUZ9FHPM0L_M,Helsinki,47,47,0,0,55,0
PUZ9FHPM0L_M,Madrid,24,25,1,0,55,13.365
PUZ9FHPM0L_M,Paris,22,23,1,0,55,13.365
PUZ9FHPM0L_M,Platform,4,10,6,0,55,80.19
PUZ9FHPM0L_M,Rome,10,10,0,0,55,0
PUZ9FHPM0L_M,Stockholm,31,31,0,0,55,0
PUZ9FHPM0L_M,Webshop,66,76,10,0,55,133.65
PUZ9FHPM0L_S,Amsterdam,10,11,1,0,55,13.365
PUZ9FHPM0L_S,Berlin,6,8,2,0,55,26.73
PUZ9FHPM0L_S,Brussels,18,18,0,0,55,0
PUZ9FHPM0L_S,Copenhagen,13,15,2,0,55,26.73
PUZ9FHPM0L_S,Helsinki,16,16,0,0,55,0
PUZ9FHPM0L_S,Madrid,13,15,2,0,55,26.73
PUZ9FHPM0L_S,Paris,7,7,0,0,55,0
PUZ9FHPM0L_S,Platform,2,4,2,0,55,26.73
PUZ9FHPM0L_S,Rome,2,2,0,0,55,0
PUZ9FHPM0L_S,Stockholm,20,20,0,0,55,0
PUZ9FHPM0L_S,Webshop,17,20,3,0,55,40.095
PUZ9FHPM0L_XL,Amsterdam,11,12,1,0,55,13.365
PUZ9FHPM0L_XL,Berlin,9,9,0,0,55,0
PUZ9FHPM0L_XL,Brussels,14,14,0,0,55,0
PUZ9FHPM0L_XL,Copenhagen,34,35,1,0,55,13.365
PUZ9FHPM0L_XL,Helsinki,31,31,0,0,55,0
PUZ9FHPM0L_XL,Madrid,5,15,10,0,55,133.65
PUZ9FHPM0L_XL,Paris,9,12,3,0,55,40.095
PUZ9FHPM0L_XL,Platform,3,5,2,0,55,26.73
PUZ9FHPM0L_XL,Rome,5,7,2,0,55,26.73
PUZ9FHPM0L_XL,Stockholm,26,26,0,0,55,0
PUZ9FHPM0L_XL,Webshop,55,55,0,0,55,0
PUZ9FHPM0L_XS,Amsterdam,4,4,0,0,55,0
PUZ9FHPM0L_XS,Berlin,3,6,3,0,55,40.095
PUZ9FHPM0L_XS,Brussels,3,6,3,0,55,40.095
PUZ9FHPM0L_XS,Copenhagen,10,10,0,0,55,0
PUZ9FHPM0L_XS,Helsinki,9,13,4,0,55,53.46
PUZ9FHPM0L_XS,Madrid,6,6,0,0,55,0
PUZ9FHPM0L_XS,Paris,3,6,3,0,55,40.095
PUZ9FHPM0L_XS,Platform,3,4,1,0,55,13.365
PUZ9FHPM0L_XS,Rome,2,3,1,0,55,13.365
PUZ9FHPM0L_XS,Stockholm,8,11,3,0,55,40.095
